600
600
30
30
10
3
3
vertices
0,0
0,30
0,60
0,90
0,120
0,150
0,180
0,210
0,240
0,270
0,300
0,330
0,360
0,390
0,420
0,450
0,480
0,510
0,540
30,0
30,30
30,60
30,90
30,120
30,150
30,180
30,210
30,240
30,270
30,300
30,330
30,360
30,390
30,420
30,450
30,480
30,510
30,540
60,0
60,30
60,60
60,90
60,120
60,150
60,180
60,210
60,240
60,270
60,300
60,330
60,360
60,390
60,420
60,450
60,480
60,510
60,540
90,0
90,30
90,60
90,90
90,120
90,150
90,180
90,210
90,240
90,270
90,300
90,330
90,360
90,390
90,420
90,450
90,480
90,510
90,540
120,0
120,30
120,60
120,90
120,120
120,150
120,180
120,210
120,240
120,270
120,300
120,330
120,360
120,390
120,420
120,450
120,480
120,510
120,540
150,0
150,30
150,60
150,90
150,120
150,150
150,180
150,210
150,240
150,270
150,300
150,330
150,360
150,390
150,420
150,450
150,480
150,510
150,540
180,0
180,30
180,60
180,90
180,120
180,150
180,180
180,210
180,240
180,270
180,300
180,330
180,360
180,390
180,420
180,450
180,480
180,510
180,540
210,0
210,30
210,60
210,90
210,120
210,150
210,180
210,210
210,240
210,270
210,300
210,330
210,360
210,390
210,420
210,450
210,480
210,510
210,540
240,0
240,30
240,60
240,90
240,120
240,150
240,180
240,210
240,240
240,270
240,300
240,330
240,360
240,390
240,420
240,450
240,480
240,510
240,540
270,0
270,30
270,60
270,90
270,120
270,150
270,180
270,210
270,240
270,270
270,300
270,330
270,360
270,390
270,420
270,450
270,480
270,510
270,540
300,0
300,30
300,60
300,90
300,120
300,150
300,180
300,210
300,240
300,270
300,300
300,330
300,360
300,390
300,420
300,450
300,480
300,510
300,540
330,0
330,30
330,60
330,90
330,120
330,150
330,180
330,210
330,240
330,270
330,300
330,330
330,360
330,390
330,420
330,450
330,480
330,510
330,540
360,0
360,30
360,60
360,90
360,120
360,150
360,180
360,210
360,240
360,270
360,300
360,330
360,360
360,390
360,420
360,450
360,480
360,510
360,540
390,0
390,30
390,60
390,90
390,120
390,150
390,180
390,210
390,240
390,270
390,300
390,330
390,360
390,390
390,420
390,450
390,480
390,510
390,540
420,0
420,30
420,60
420,90
420,120
420,150
420,180
420,210
420,240
420,270
420,300
420,330
420,360
420,390
420,420
420,450
420,480
420,510
420,540
450,0
450,30
450,60
450,90
450,120
450,150
450,180
450,210
450,240
450,270
450,300
450,330
450,360
450,390
450,420
450,450
450,480
450,510
450,540
480,0
480,30
480,60
480,90
480,120
480,150
480,180
480,210
480,240
480,270
480,300
480,330
480,360
480,390
480,420
480,450
480,480
480,510
480,540
510,0
510,30
510,60
510,90
510,120
510,150
510,180
510,210
510,240
510,270
510,300
510,330
510,360
510,390
510,420
510,450
510,480
510,510
510,540
540,0
540,30
540,60
540,90
540,120
540,150
540,180
540,210
540,240
540,270
540,300
540,330
540,360
540,390
540,420
540,450
540,480
540,510
540,540
edges
0,1
0,19
19,20
19,38
38,39
38,57
57,58
57,76
76,77
76,95
95,96
95,114
114,115
114,133
133,134
133,152
152,153
152,171
171,172
171,190
190,191
190,209
209,210
209,228
228,229
228,247
247,248
247,266
266,267
266,285
285,286
285,304
304,305
304,323
323,324
323,342
342,343
1,2
1,20
20,21
20,39
39,40
39,58
58,59
58,77
77,78
77,96
96,97
96,115
115,116
115,134
134,135
134,153
153,154
153,172
172,173
172,191
191,192
191,210
210,211
210,229
229,230
229,248
248,249
248,267
267,268
267,286
286,287
286,305
305,306
305,324
324,325
324,343
343,344
2,3
2,21
21,22
21,40
40,41
40,59
59,60
59,78
78,79
78,97
97,98
97,116
116,117
116,135
135,136
135,154
154,155
154,173
173,174
173,192
192,193
192,211
211,212
211,230
230,231
230,249
249,250
249,268
268,269
268,287
287,288
287,306
306,307
306,325
325,326
325,344
344,345
3,4
3,22
22,23
22,41
41,42
41,60
60,61
60,79
79,80
79,98
98,99
98,117
117,118
117,136
136,137
136,155
155,156
155,174
174,175
174,193
193,194
193,212
212,213
212,231
231,232
231,250
250,251
250,269
269,270
269,288
288,289
288,307
307,308
307,326
326,327
326,345
345,346
4,5
4,23
23,24
23,42
42,43
42,61
61,62
61,80
80,81
80,99
99,100
99,118
118,119
118,137
137,138
137,156
156,157
156,175
175,176
175,194
194,195
194,213
213,214
213,232
232,233
232,251
251,252
251,270
270,271
270,289
289,290
289,308
308,309
308,327
327,328
327,346
346,347
5,6
5,24
24,25
24,43
43,44
43,62
62,63
62,81
81,82
81,100
100,101
100,119
119,120
119,138
138,139
138,157
157,158
157,176
176,177
176,195
195,196
195,214
214,215
214,233
233,234
233,252
252,253
252,271
271,272
271,290
290,291
290,309
309,310
309,328
328,329
328,347
347,348
6,7
6,25
25,26
25,44
44,45
44,63
63,64
63,82
82,83
82,101
101,102
101,120
120,121
120,139
139,140
139,158
158,159
158,177
177,178
177,196
196,197
196,215
215,216
215,234
234,235
234,253
253,254
253,272
272,273
272,291
291,292
291,310
310,311
310,329
329,330
329,348
348,349
7,8
7,26
26,27
26,45
45,46
45,64
64,65
64,83
83,84
83,102
102,103
102,121
121,122
121,140
140,141
140,159
159,160
159,178
178,179
178,197
197,198
197,216
216,217
216,235
235,236
235,254
254,255
254,273
273,274
273,292
292,293
292,311
311,312
311,330
330,331
330,349
349,350
8,9
8,27
27,28
27,46
46,47
46,65
65,66
65,84
84,85
84,103
103,104
103,122
122,123
122,141
141,142
141,160
160,161
160,179
179,180
179,198
198,199
198,217
217,218
217,236
236,237
236,255
255,256
255,274
274,275
274,293
293,294
293,312
312,313
312,331
331,332
331,350
350,351
9,10
9,28
28,29
28,47
47,48
47,66
66,67
66,85
85,86
85,104
104,105
104,123
123,124
123,142
142,143
142,161
161,162
161,180
180,181
180,199
199,200
199,218
218,219
218,237
237,238
237,256
256,257
256,275
275,276
275,294
294,295
294,313
313,314
313,332
332,333
332,351
351,352
10,11
10,29
29,30
29,48
48,49
48,67
67,68
67,86
86,87
86,105
105,106
105,124
124,125
124,143
143,144
143,162
162,163
162,181
181,182
181,200
200,201
200,219
219,220
219,238
238,239
238,257
257,258
257,276
276,277
276,295
295,296
295,314
314,315
314,333
333,334
333,352
352,353
11,12
11,30
30,31
30,49
49,50
49,68
68,69
68,87
87,88
87,106
106,107
106,125
125,126
125,144
144,145
144,163
163,164
163,182
182,183
182,201
201,202
201,220
220,221
220,239
239,240
239,258
258,259
258,277
277,278
277,296
296,297
296,315
315,316
315,334
334,335
334,353
353,354
12,13
12,31
31,32
31,50
50,51
50,69
69,70
69,88
88,89
88,107
107,108
107,126
126,127
126,145
145,146
145,164
164,165
164,183
183,184
183,202
202,203
202,221
221,222
221,240
240,241
240,259
259,260
259,278
278,279
278,297
297,298
297,316
316,317
316,335
335,336
335,354
354,355
13,14
13,32
32,33
32,51
51,52
51,70
70,71
70,89
89,90
89,108
108,109
108,127
127,128
127,146
146,147
146,165
165,166
165,184
184,185
184,203
203,204
203,222
222,223
222,241
241,242
241,260
260,261
260,279
279,280
279,298
298,299
298,317
317,318
317,336
336,337
336,355
355,356
14,15
14,33
33,34
33,52
52,53
52,71
71,72
71,90
90,91
90,109
109,110
109,128
128,129
128,147
147,148
147,166
166,167
166,185
185,186
185,204
204,205
204,223
223,224
223,242
242,243
242,261
261,262
261,280
280,281
280,299
299,300
299,318
318,319
318,337
337,338
337,356
356,357
15,16
15,34
34,35
34,53
53,54
53,72
72,73
72,91
91,92
91,110
110,111
110,129
129,130
129,148
148,149
148,167
167,168
167,186
186,187
186,205
205,206
205,224
224,225
224,243
243,244
243,262
262,263
262,281
281,282
281,300
300,301
300,319
319,320
319,338
338,339
338,357
357,358
16,17
16,35
35,36
35,54
54,55
54,73
73,74
73,92
92,93
92,111
111,112
111,130
130,131
130,149
149,150
149,168
168,169
168,187
187,188
187,206
206,207
206,225
225,226
225,244
244,245
244,263
263,264
263,282
282,283
282,301
301,302
301,320
320,321
320,339
339,340
339,358
358,359
17,18
17,36
36,37
36,55
55,56
55,74
74,75
74,93
93,94
93,112
112,113
112,131
131,132
131,150
150,151
150,169
169,170
169,188
188,189
188,207
207,208
207,226
226,227
226,245
245,246
245,264
264,265
264,283
283,284
283,302
302,303
302,321
321,322
321,340
340,341
340,359
359,360
18,37
37,56
56,75
75,94
94,113
113,132
132,151
151,170
170,189
189,208
208,227
227,246
246,265
265,284
284,303
303,322
322,341
341,360
